weight,dob,height,player,link,team,color,position
85,14-03-1983,185,Scott Thompson,http://stats.rleague.com/afl/stats/players/S/Scott_Thompson0.html,adelaide,#ce9a76,Midfielder
80,06-02-1987,180,Richard Douglas,http://stats.rleague.com/afl/stats/players/R/Richard_Douglas.html,adelaide,#d9ac84,Midfielder
85,17-03-1990,183,Rory Sloane,http://stats.rleague.com/afl/stats/players/R/Rory_Sloane.html,adelaide,#eac7a8,Midfielder
92,05-04-1990,185,Patrick Dangerfield,http://stats.rleague.com/afl/stats/players/P/Patrick_Dangerfield.html,adelaide,#e7c2a4,Midfielder
87,02-10-1985,186,Bernie Vince,http://stats.rleague.com/afl/stats/players/B/Bernie_Vince.html,adelaide,#f5b08c,Midfielder
84,14-01-1992,189,Brodie Smith,http://stats.rleague.com/afl/stats/players/B/Brodie_Smith.html,adelaide,#d9ae89,Defender
84,14-01-1994,185,Brad Crouch,http://stats.rleague.com/afl/stats/players/B/Brad_Crouch.html,adelaide,#f0ae8d,Midfielder
76,29-12-1993,178,Rory Laird,http://stats.rleague.com/afl/stats/players/R/Rory_Laird.html,adelaide,#e8c2a4,Defender
84,06-06-1986,184,Nathan van Berlo,http://stats.rleague.com/afl/stats/players/N/Nathan_van_Berlo.html,adelaide,#d5a880,Midfielder
78,25-07-1988,181,David Mackay,http://stats.rleague.com/afl/stats/players/D/David_Mackay.html,adelaide,#e8c1a2,Midfielder
92,15-05-1989,192,Andy Otten,http://stats.rleague.com/afl/stats/players/A/Andy_Otten.html,adelaide,#dbb290,null
79,22-09-1992,181,Luke Brown,http://stats.rleague.com/afl/stats/players/L/Luke_Brown1.html,adelaide,#d9a87d,Defender
85,15-09-1990,192,Tom Lynch,http://stats.rleague.com/afl/stats/players/T/Tom_Lynch0.html,adelaide,#e0b799,Forward
81,14-12-1989,178,Matthew Wright,http://stats.rleague.com/afl/stats/players/M/Matthew_Wright.html,adelaide,#e4c1a2,Midfielder
101,28-05-1983,190,Ben Rutten,http://stats.rleague.com/afl/stats/players/B/Ben_Rutten.html,adelaide,#eca077,Defender
91,11-09-1988,189,Ricky Henderson,http://stats.rleague.com/afl/stats/players/R/Ricky_Henderson.html,adelaide,#ddb596,Defender
105,10-04-1988,203,Sam Jacobs,http://stats.rleague.com/afl/stats/players/S/Sam_Jacobs.html,adelaide,#dfb690,Ruck
95,02-10-1991,196,Daniel Talia,http://stats.rleague.com/afl/stats/players/D/Daniel_Talia.html,adelaide,#cda283,Defender
85,27-11-1984,177,Jason Porplyzia,http://stats.rleague.com/afl/stats/players/J/Jason_Porplyzia.html,adelaide,#ddb38e,Forward
