weight,dob,height,player,link,team,position,nationality,color
87,11-02-1981,186,Michael Theo,http://www.footballaustralia.com.au/brisbaneroar/Players/Michael-Theo/16,brisbaneroar,Goalkeeper,Australia,#c28a64
85,03-06-1992,184,Matthew Acton,http://www.footballaustralia.com.au/brisbaneroar/Players/Matthew-Acton/3949,brisbaneroar,Goalkeeper,Australian,#DA9D8A
78,07-01-1982,180,Jade North,http://www.footballaustralia.com.au/brisbaneroar/Players/Jade-North/35,brisbaneroar,Defender,Australian,#b2775a
69,07-01-1994,174,Corey Brown,http://www.footballaustralia.com.au/brisbaneroar/Players/Corey-Brown/3859,brisbaneroar,Defender,Australian,#ca927f
null,14-05-1993,null,James Donachie,http://www.footballaustralia.com.au/brisbaneroar/Players/James-Donachie/4382,brisbaneroar,Central Defender,Australian,#d59b8c
68,26-09-1990,170,Jack Hingert,http://www.footballaustralia.com.au/brisbaneroar/Players/Jack-Hingert/1805,brisbaneroar,Central Defender,Australia,#BA663A
77,10-09-1987,180,Ivan Franjic,http://www.footballaustralia.com.au/brisbaneroar/Players/Ivan-Franjic/1850,brisbaneroar,Central Defender,Australia,#b87e66
80,15-10-1982,180,Matt Smith,http://www.footballaustralia.com.au/brisbaneroar/Players/Matt-Smith/1920,brisbaneroar,Central Defender,Australia,#DA9D8A
78,11-01-1980,177,Shane Stefanutto,http://www.footballaustralia.com.au/brisbaneroar/Players/Shane-Stefanutto/1924,brisbaneroar,Central Defender,Australia,#DA9D9A
65,11-01-1983,171,Matthew McKay,http://www.footballaustralia.com.au/brisbaneroar/players/Matthew-McKay/150,brisbaneroar,Midfielder,Australian,#e4ab92
69,23-04-1992,186,George Lambadaridis,http://www.footballaustralia.com.au/brisbaneroar/players/George-Lambadaridis/4633,brisbaneroar,Midfielder,Australian,#c79079
71,13-02-1981,173,Liam Miller,http://www.footballaustralia.com.au/brisbaneroar/players/Liam-Miller/6333,brisbaneroar,Midfielder,Irish,#b9826a
null,14-08-1993,null,Jai Ingham,http://www.footballaustralia.com.au/brisbaneroar/players/Jai-Ingham/12170,brisbaneroar,Midfielder,Australian,#de906e
null,16-10-1995,null,Devante Clut,http://www.footballaustralia.com.au/brisbaneroar/players/Devante-Clut/12173,brisbaneroar,Midfielder,Australian,#e8aa84
65,07-03-1990,175,Luke Brattan,http://www.footballaustralia.com.au/brisbaneroar/players/Luke-Brattan/1831,brisbaneroar,Central Midfielder,England,#cd947b
73,28-01-1981,182,Thomas Broich,http://www.footballaustralia.com.au/brisbaneroar/players/Thomas-Broich/1833,brisbaneroar,Central Midfielder,Germany,#CF9476
75,05-10-1989,179,Diogo Ferreira,http://www.footballaustralia.com.au/brisbaneroar/players/Diogo-Ferreira/1847,brisbaneroar,Central Midfielder,Australia,#c08564
80,29-07-1985,185,Besart Berisha,http://www.footballaustralia.com.au/brisbaneroar/players/Besart-Berisha/3966,brisbaneroar,Striker,Albanian,#c38d7b
64,30-09-1994,165,Julius Doe,http://www.footballaustralia.com.au/brisbaneroar/players/Julius-Doe/4992,brisbaneroar,Striker,null,#2D221B
79,25-07-1995,178,Brandon Borrello,http://www.footballaustralia.com.au/brisbaneroar/players/Brandon-Borrello/5754,brisbaneroar,Striker,Australian,#df9d80
62,16-05-1996,173,Patrick Theodore,http://www.footballaustralia.com.au/brisbaneroar/players/Patrick-Theodore/5758,brisbaneroar,Striker,Australian,#d2957f
60,09-05-1985,165,Henrique,http://www.footballaustralia.com.au/brisbaneroar/players/-Henrique/1862,brisbaneroar,Striker,Brazilian,#AF6741
80,10-11-1992,176,Dimitrios Petratos,http://www.footballaustralia.com.au/brisbaneroar/players/Dimitrios-Petratos/1905,brisbaneroar,Striker,Australian,#df9d82
