weight,dob,height,player,link,team,position,nationality
null,null,null,Adriana Jones,http://www.footballaustralia.com.au/newcastlejets/players/Adriana-Jones/22060,newcastlejets,Striker,null
null,null,null,Ainsley Buchanan,http://www.footballaustralia.com.au/newcastlejets/players/Ainsley-Buchanan/101883,newcastlejets,Goalkeeper,null
63,21-01-1995,176,Alanna Kennedy,http://www.footballaustralia.com.au/wswanderersfc/players/Alanna-Kennedy/22048,wswanderersfc,Central Defender,Australian,#c78c7d
66,28-01-1996,172,Alannah Rosewood,http://www.footballaustralia.com.au/newcastlejets/players/Alannah-Rosewood/5822,newcastlejets,Goalkeeper,Australian,#b68c7f
61,16-09-1991,182,Alesha Clifford,http://www.footballaustralia.com.au/sydneyfc/players/Alesha-Clifford/3934,sydneyfc,Left Full Back,Australian,#cfaa97
null,29-11-1995,null,Alex Natoli,http://www.footballaustralia.com.au/melbournevictory/players/Alex-Natoli/5854,melbournevictory,Defender,null,#c5a589
null,10-09-1992,null,Alexandra Gummer,http://www.footballaustralia.com.au/adelaideunited/players/Alexandra-Gummer/22069,adelaideunited,Defender,null,#b8a198
57,01-05-1991,157,Alisha Foote,http://www.footballaustralia.com.au/newcastlejets/players/Alisha-Foote/4065,newcastlejets,Striker,Australian,#c0947f
58,12-02-1987,163,Amy Chapman,http://www.footballaustralia.com.au/brisbaneroar/players/Amy-Chapman/715,brisbaneroar,Midfielder,Australian,#d79d89
59,21-04-1996,171,Amy Harrison,http://www.footballaustralia.com.au/sydneyfc/players/Amy-Harrison/5836,sydneyfc,Defender,Australian,#cca592
null,07-04-1994,null,Amy Knights,http://www.footballaustralia.com.au/perthglory/players/Amy-Knights/22065,perthglory,Left Full Back,Australian,#d3967f
54,24-07-1988,162,Angela Salem,http://www.footballaustralia.com.au/newcastlejets/players/Angela-Salem/5819,newcastlejets,Central Midfielder,American,#bb8d79
null,20-08-1990,167,Anna Green,http://www.footballaustralia.com.au/sydneyfc/players/Anna-Green/101887,sydneyfc,Defender,New Zealander,#8a4f51
54,15-12-1991,163,Ashleigh Sykes,http://www.footballaustralia.com.au/canberraunited/players/Ashleigh-Sykes/3923,canberraunited,Striker,Australian,#e79f83
null,04-12-1994,174,Ashley Brown,http://www.footballaustralia.com.au/melbournevictory/players/Ashley-Brown/4043,melbournevictory,Striker,Australian,#b68e69
null,null,null,Ashley Spina,http://www.footballaustralia.com.au/newcastlejets/players/Ashley-Spina/22053,newcastlejets,Midfielder,null
null,29-03-1997,null,Ayesha Norrie,http://www.footballaustralia.com.au/brisbaneroar/players/Ayesha-Norrie/12185,brisbaneroar,Midfielder,Australian,#e29b69
null,31-05-1997,null,Beatrice Goad,http://www.footballaustralia.com.au/melbournevictory/players/Beatrice-Goad/22079,melbournevictory,Central Midfielder,null,#ccab92
null,null,null,Bianca Gray,http://www.footballaustralia.com.au/adelaideunited/players/Bianca-Gray/22068,adelaideunited,Midfielder,null,#c19182
73,13-01-1995,175,Brianna Davey,http://www.footballaustralia.com.au/melbournevictory/players/Brianna-Davey/4034,melbournevictory,Goalkeeper,Australian,#c49c7a
58,07-10-1992,164,Bronte Bates,http://www.footballaustralia.com.au/newcastlejets/players/Bronte-Bates/4021,newcastlejets,Midfielder,Australian,#c0927b
65,24-03-1992,173,Bronwyn Studman,http://www.footballaustralia.com.au/perthglory/players/Bronwyn-Studman/5807,perthglory,Right Full Back,Australian,#d7967b
null,null,null,Brooke Goodrich,http://www.footballaustralia.com.au/brisbaneroar/players/Brooke-Goodrich/12184,brisbaneroar,Defender,Australian,#da9d8f
58,04-03-1988,162,Brooke Spence,http://www.footballaustralia.com.au/brisbaneroar/players/Brooke-Spence/3877,brisbaneroar,Defender,Australian,#d8997c
66,12-02-1988,null,Caitlin Cooper,http://www.footballaustralia.com.au/wswanderersfc/players/Caitlin-Cooper/22041,wswanderersfc,Central Defender,Australian,#cd9589
61,11-11-1994,null,Caitlin Foord,http://www.footballaustralia.com.au/sydneyfc/players/Caitlin-Foord/3896,sydneyfc,Right Full Back,Australian,#c49e8a
null,11-11-1993,167,Caitlin Friend,http://www.footballaustralia.com.au/melbournevictory/players/Caitlin-Friend/4038,melbournevictory,Striker,Australian,#c49e81
73,04-10-1983,null,Caitlin Munoz,http://www.footballaustralia.com.au/canberraunited/players/Caitlin-Munoz/683,canberraunited,Midfielder,Australia,#e2a48d
58,24-04-1990,null,Camille Levin,http://www.footballaustralia.com.au/wswanderersfc/players/Camille-Levin/101884,wswanderersfc,Defender,American,#e8b690
null,null,null,Casey Dumont,http://www.footballaustralia.com.au/sydneyfc/players/Casey-Dumont/6583,sydneyfc,Goalkeeper,null,#c89983
null,27-12-1993,165,Cassandra Dimovski,http://www.footballaustralia.com.au/melbournevictory/players/Cassandra-Dimovski/4581,melbournevictory,Goalkeeper,Australian,#b89578
null,null,null,Cassidy Davis,http://www.footballaustralia.com.au/newcastlejets/players/Cassidy-Davis/22058,newcastlejets,Attacking Midfielder,null
null,10-01-1994,null,Catherine Brown,http://www.footballaustralia.com.au/canberraunited/players/Catherine-Brown/5789,canberraunited,Right Full Back,Australian,#eda895
63,03-03-1986,163,Catherine Cannuli,http://www.footballaustralia.com.au/wswanderersfc/players/Catherine-Cannuli/22047,wswanderersfc,Striker,Australian,#cd9481
64,13-06-1990,173,Cecilie Sandvej,http://www.footballaustralia.com.au/perthglory/players/Cecilie-Sandvej/22063,perthglory,Central Defender,Danish,#ca917c
74,20-07-1988,177,Chantel Jones,http://www.footballaustralia.com.au/perthglory/players/Chantel-Jones/22062,perthglory,Goalkeeper,American,#c47e60
