"height","weight","age","player","link","team","position","league"
185,85,30,"Scott Thompson","http://stats.rleague.com/afl/stats/players/S/Scott_Thompson0.html","adelaide","Midfielder","afl"
180,80,26,"Richard Douglas","http://stats.rleague.com/afl/stats/players/R/Richard_Douglas.html","adelaide","Midfielder","afl"
183,85,23,"Rory Sloane","http://stats.rleague.com/afl/stats/players/R/Rory_Sloane.html","adelaide","Midfielder","afl"
185,92,23,"Patrick Dangerfield","http://stats.rleague.com/afl/stats/players/P/Patrick_Dangerfield.html","adelaide","Midfielder","afl"
186,87,28,"Bernie Vince","http://stats.rleague.com/afl/stats/players/B/Bernie_Vince.html","adelaide","Midfielder","afl"
189,84,21,"Brodie Smith","http://stats.rleague.com/afl/stats/players/B/Brodie_Smith.html","adelaide","Defender","afl"
185,84,19,"Brad Crouch","http://stats.rleague.com/afl/stats/players/B/Brad_Crouch.html","adelaide","Midfielder","afl"
178,76,20,"Rory Laird","http://stats.rleague.com/afl/stats/players/R/Rory_Laird.html","adelaide","Defender","afl"
184,84,27,"Nathan van Berlo","http://stats.rleague.com/afl/stats/players/N/Nathan_van_Berlo.html","adelaide","Midfielder","afl"
181,78,25,"David Mackay","http://stats.rleague.com/afl/stats/players/D/David_Mackay.html","adelaide","Midfielder","afl"
192,92,24,"Andy Otten","http://stats.rleague.com/afl/stats/players/A/Andy_Otten.html","adelaide","null","afl"
181,79,21,"Luke Brown","http://stats.rleague.com/afl/stats/players/L/Luke_Brown1.html","adelaide","Defender","afl"
192,85,23,"Tom Lynch","http://stats.rleague.com/afl/stats/players/T/Tom_Lynch0.html","adelaide","Forward","afl"
178,81,24,"Matthew Wright","http://stats.rleague.com/afl/stats/players/M/Matthew_Wright.html","adelaide","Midfielder","afl"
190,101,30,"Ben Rutten","http://stats.rleague.com/afl/stats/players/B/Ben_Rutten.html","adelaide","Defender","afl"
189,91,25,"Ricky Henderson","http://stats.rleague.com/afl/stats/players/R/Ricky_Henderson.html","adelaide","Defender","afl"
203,105,25,"Sam Jacobs","http://stats.rleague.com/afl/stats/players/S/Sam_Jacobs.html","adelaide","Ruck","afl"
196,95,22,"Daniel Talia","http://stats.rleague.com/afl/stats/players/D/Daniel_Talia.html","adelaide","Defender","afl"
177,85,29,"Jason Porplyzia","http://stats.rleague.com/afl/stats/players/J/Jason_Porplyzia.html","adelaide","Forward","afl"
199,103,24,"Josh Jenkins","http://stats.rleague.com/afl/stats/players/J/Josh_Jenkins.html","adelaide","Forward","afl"
183,86,30,"Brent Reilly","http://stats.rleague.com/afl/stats/players/B/Brent_Reilly.html","adelaide","Defender","afl"
188,86,20,"Sam Kerridge","http://stats.rleague.com/afl/stats/players/S/Sam_Kerridge.html","adelaide","Midfielder","afl"
184,78,21,"Jarryd Lyons","http://stats.rleague.com/afl/stats/players/J/Jarryd_Lyons.html","adelaide","Midfielder","afl"
180,83,24,"Matthew Jaensch","http://stats.rleague.com/afl/stats/players/M/Matthew_Jaensch.html","adelaide","Defender","afl"
178,82,24,"Jared Petrenko","http://stats.rleague.com/afl/stats/players/J/Jared_Petrenko.html","adelaide","Forward","afl"
196,99,23,"Shaun McKernan","http://stats.rleague.com/afl/stats/players/S/Shaun_McKernan.html","adelaide","Forward","afl"
